day,date,opening_balance,confirmed_income,scheduled_income,recurring_fixed_expenses,variable_essential_spending,requested_purchase_payment,closing_balance,minimum_balance_to_keep,lowest_balance_so_far,lowest_date_so_far
0,2025-11-06,46475.1,0.0,0.0,706.37,127.02,0.0,45641.71,13100.0,45641.71,2025-11-06
1,2025-11-07,45641.71,0.0,0.0,0.0,127.02,0.0,45514.69,13100.0,45514.69,2025-11-07
2,2025-11-08,45514.69,0.0,0.0,0.0,127.02,0.0,45387.670000000006,13100.0,45387.670000000006,2025-11-08
3,2025-11-09,45387.670000000006,0.0,0.0,0.0,127.02,0.0,45260.65000000001,13100.0,45260.65000000001,2025-11-09
4,2025-11-10,45260.65000000001,0.0,0.0,721.44,127.02,0.0,44412.19000000001,13100.0,44412.19000000001,2025-11-10
5,2025-11-11,44412.19000000001,0.0,0.0,968.0,127.02,0.0,43317.17000000001,13100.0,43317.17000000001,2025-11-11
6,2025-11-12,43317.17000000001,0.0,0.0,113.3,127.02,0.0,43076.85000000001,13100.0,43076.85000000001,2025-11-12
7,2025-11-13,43076.85000000001,0.0,0.0,840.4,127.02,0.0,42109.430000000015,13100.0,42109.430000000015,2025-11-13
8,2025-11-14,42109.430000000015,0.0,0.0,0.0,127.02,0.0,41982.41000000002,13100.0,41982.41000000002,2025-11-14
9,2025-11-15,41982.41000000002,0.0,0.0,0.0,127.02,0.0,41855.39000000002,13100.0,41855.39000000002,2025-11-15
10,2025-11-16,41855.39000000002,0.0,0.0,0.0,127.02,0.0,41728.370000000024,13100.0,41728.370000000024,2025-11-16
11,2025-11-17,41728.370000000024,0.0,0.0,0.0,127.02,0.0,41601.35000000003,13100.0,41601.35000000003,2025-11-17
12,2025-11-18,41601.35000000003,0.0,0.0,0.0,127.02,0.0,41474.33000000003,13100.0,41474.33000000003,2025-11-18
13,2025-11-19,41474.33000000003,0.0,0.0,0.0,127.02,0.0,41347.310000000034,13100.0,41347.310000000034,2025-11-19
14,2025-11-20,41347.310000000034,0.0,0.0,0.0,127.02,0.0,41220.29000000004,13100.0,41220.29000000004,2025-11-20
